name,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Joyce Raley Teel,1935,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Juan Abello,1938,relation,new,male,Europe,inherited,Financial,Diversified financial,father
Juan Carlos Escotet,1992,founder,new,male,Latin America,self-made finance,Financial,Money Management,not inherited
Juan Fernando Belmont Anderson,1967,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Juan Maria Riberas Mera,1958,relation,new,male,Europe,inherited,Resource Related,Non-consumer industrial,father
Juan Roig,1977,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Juan and Carlos March,1916,relation,new,male,Europe,inherited,Financial,Diversified financial,3rd generation
Juan-Miguel Villar Mir,1911,Chairman and Chief Executive Officer,aquired,male,Europe,executive,Non-Traded Sectors,Constrution,not inherited
Jude Reyes,1976,ceo,aquired,male,North America,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Judy Faulkner,1979,founder,new,female,North America,founder non-finance,New Sectors,Technology-Medical,not inherited
Judy Love,1964,founder,new,female,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Juffali family,1946,,new,,Middle East/North Africa,inherited,Financial,Diversified financial,not inherited
Julia Oetker,1891,relation,new,female,Europe,inherited,Traded Sectors,Consumer,4th generation
Julian Robertson,1980,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
"Julian Robertson, Jr.",1980,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Julio Bozano,1960,founder,new,male,Latin America,self-made finance,Financial,Money Management,not inherited
Julio Mario Santo Domingo,1889,founder,aquired,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Julio Ponce,1968,chairman,privatization,male,Latin America,privatized and resources,Traded Sectors,Consumer,not inherited
Junichi Murata,0,,,,East Asia,,Traded Sectors,Non-consumer industrial,not inherited
K Dinesh,1981,founder,new,male,South Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
K. Rai Sahi,1975,chairman and ceo,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Kagemasa Kozuki,1969,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Kalanithi Maran,1993,"founder, chairman",new,male,South Asia,founder non-finance,Non-Traded Sectors,Media,not inherited
Kanichiro Ishibashi,1931,relation,new,male,East Asia,inherited,Resource Related,Mining and metals,father
Karel Komarek,1995,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Karen Pritzker,1957,relation,aquired,female,North America,inherited,Financial,Real Estate,father
Karl Albrecht,1914,relation,new,male,Europe,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Karl Diehl,1902,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,father
Karl Wlaschek,1953,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Karl-Heinz Kipp,1965,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Kathryn McCurry Albertson,1939,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Katsumi Tada,1974,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Kavitark Ram Shriram,1998,investor,new,male,North America,self-made finance,Financial,Venture Capital,not inherited
Kazuo Inamori,1959,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Kazuo Matsuda,1963,founder,new,male,East Asia,self-made finance,Financial,Money Management,not inherited
Kazuo Okada,1973,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Ke Xiping,1994,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Keeree Kanjanapas,1992,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Keiichiro Takahara,1961,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Keith McCaw,1987,relation,new,male,North America,executive,Non-Traded Sectors,Media,not inherited
Keizo Saji,1899,relation,new,male,East Asia,inherited,Traded Sectors,Consumer,3rd generation
Kelcy Warren,1994,Chairman and Chief Executive Officer,new,male,North America,executive,Traded Sectors,Non-consumer industrial,not inherited
Kemal Uzan,1956,founder,new,male,Middle East/North Africa,privatized and resources,Financial,Diversified financial,not inherited
Ken Fisher,1979,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Ken Griffin,1990,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Kenichi Mabuchi,1946,founder,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Kenkichi Nakajima,1946,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Kenneth Feld,1967,relation,aquired,male,North America,inherited,Non-Traded Sectors,Media,father
Kenneth Langone,1979,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Kenneth Morrison,1899,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Kenneth Thomson,1934,relation,acquired,male,North America,inherited,Non-Traded Sectors,Media,father
Kenneth Troutt,1988,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Kenneth Tuchman,1982,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Kenny Troutt,1988,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Kenshin Oshima,1978,president,new,male,East Asia,self-made finance,Financial,Money Management,not inherited
Kerr Neilson,1994,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Kerry Packer,1936,relation,aquired,male,North America,inherited,Non-Traded Sectors,Media,3rd generation
Kerry Stokes,1958,investor,aquired,male,North America,executive,Non-Traded Sectors,Media,not inherited
Kevin Plank,1998,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Khalid Bin Mahfouz,1953,relation,new,male,Middle East/North Africa,inherited,Financial,Money Management,father
Khoo Teck Puat,1960,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Kim Jung-Ju,1994,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Kim Magness,1968,relation,new,male,North America,inherited,Non-Traded Sectors,Media,father
Kim Suk-won,0,,,,East Asia,,Financial,Diversified financial,not inherited
Kim Taek-Jin,1997,founder,new,male,East Asia,founder non-finance,New Sectors,,not inherited
Kim Woo-choong,1967,founder,new,male,East Asia,privatized and resources,Financial,Diversified financial,not inherited
Kirk Kerkorian,1924,investor,aquired,male,North America,self-made finance,Financial,Real Estate,not inherited
Kirsten Rausing,1951,relation,new,female,Europe,inherited,Traded Sectors,Consumer,3rd generation
Kjeld Kirk Kristiansen,1949,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Kjell Inge Rokke,1841,owner,aquired,male,Europe,executive,0,Other,not inherited
Klaus Jacobs,1895,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Klaus Tschira,1972,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
Klaus-Michael Kuehne,1890,relation,new,male,Europe,inherited,Traded Sectors,Other,3rd generation
Koh Wee Meng,1993,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Konstantin Grigorishin,1990,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Konstantin Nikolaev,1996,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Koo Bon-Moo,1947,relation,new,male,East Asia,inherited,New Sectors,Technology-Computer,father
Koo Bon-Neung,1947,relation,new,male,East Asia,inherited,New Sectors,Technology-Computer,father
Koo Cha-kyung,1947,relation,new,male,East Asia,inherited,Financial,Diversified financial,father
Koo Chen-fu,1940,founder,new ,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Koos Bekker,1985,founder,new,male,Sub-Saharan Africa,founder non-finance,Non-Traded Sectors,Media,not inherited
Kostyantin Zhevago,1960,founder,privatization,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Krit Ratanarak,1945,relation,new,male,East Asia,inherited,Non-Traded Sectors,Media,father
Kumar Birla,1857,relation,new,male,South Asia,inherited,Resource Related,Mining and metals,4th generation
Kunio Busujima,1950,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Kuok Khoon Hong,1991,founder,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Kushal Pal Singh,1946,relation and chairman,new,male,South Asia,inherited,Financial,Real Estate,father
Kutayba Alghanim,1932,relation,new,male,Middle East/North Africa,inherited,Financial,Diversified financial,father
Kwee brothers,1961,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Kwek Leng Beng,1948,relation,new,male,East Asia,inherited,Financial,Diversified financial,father
Kyosuke Kinoshita,1948,relation,new,male,East Asia,inherited,Financial,Money Management,father
Lachhman Das Mittal,1969,founder,new,male,South Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Lakshmi Mittal,1989,founder,new,male,South Asia,inherited,Resource Related,Non-consumer industrial,father
Lam Fong Ngo,1997,Vice Chairman,new,female,East Asia,self-made finance,Financial,Real Estate,not inherited
Lam Kong,1995,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Lang Walker,1972,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Larragoiti family,1895,,new,,Latin America,inherited,Financial,Hedge funds,not inherited
Larry Ellison,1977,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Larry Page,1998,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Larry Robbins,2001,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Lars Larsen,1979,founder and CEO,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Laurance Rockefeller,1870,relation,new,male,North America,inherited,Resource Related,Mining and metals,3rd generation
Laurence Graff,1960,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Laurence Tisch,1946,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Laurene Powell Jobs,1976,relation,new,female,North America,inherited,New Sectors,Technology-Computer,spouse/widow
Laurent Burelle,1957,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Law Kar Po,1961,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Lawrence Flinn Jr,1975,investor ,aquired,male,North America,executive,Non-Traded Sectors,Media,not inherited
Lawrence Ho,1962,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Lawrence Stroll,1981,chairman,new,male,North America,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Leandro Rizzuto,1959,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Lee Bass,1919,relation,new,male,North America,inherited,Resource Related,Energy,father
Lee Boo-Jin,1938,relation,new,female,East Asia,inherited,New Sectors,Technology-Computer,3rd generation
Lee Hae-Jin,1999,owner,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Lee Hon Chiu,1920,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Lee Hwa-Kyung,1956,relation,new,female,East Asia,inherited,Non-Traded Sectors,Media,father
Lee Jay-Hyun,1953,relation,subsidiary,male,East Asia,inherited,Non-Traded Sectors,Media,3rd generation
Lee Joong-Keun,1983,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Lee Kun-Hee,1938,relation,new,male,East Asia,inherited,New Sectors,Technology-Computer,father
Lee Man Tat,1888,relation,new,male,East Asia,inherited,Traded Sectors,Consumer,3rd generation
Lee Myung-Hee,1930,relation,subsidiary,female,East Asia,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Lee Seng Wee,1919,chairman,new,male,East Asia,inherited,Financial,Money Management,father
Lee Seo-Hyun,1938,relation,new,female,East Asia,inherited,New Sectors,Technology-Computer,3rd generation
Lee Shau Kee,1976,founder/chairman,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Lee Shin Cheng,1969,founder and chairman,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Lei Jufang,1993,founder,new,female,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Lei Jun,2010,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Leibbrand family,0,,,,Europe,,Non-Traded Sectors,"Retail, Restaurant",not inherited
Lemos family,1860,,new,,Europe,inherited,Financial,Money Management,not inherited
Len Ainsworth,1953,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Len Blavatnik,1990,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Len Buckeridge,1960,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Leo Kirch,1956,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Media,not inherited
Leon Black,1990,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Leon Charney,1980,investor,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Leon Feffer,1939,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Leon G. Cooperman,1991,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Leona Helmsley,1938,investor ,aquired,female,North America,self-made finance,Financial,Real Estate,not inherited
Leonard Lauder,1946,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Leonard Schleifer,1988,founder,new,male,North America,founder non-finance,New Sectors,Technology-Medical,not inherited
Leonard Stern,1926,relation,new,male,North America,inherited,Financial,Real Estate,father
Leonardo Del Vecchio,1961,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Leonid Fedun,1990,Vice President,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Leonid Mikhelson,1994,chairman of management committee,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Leonid Simanovsky,1994,founder,new,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Leslie Gonda,1973,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Leslie Wexner,1963,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Lester Crown,1919,relation,new,male,North America,inherited,Financial,Money Management,father
Leszek Czarnecki,1996,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Lev Kvetnoi,1937,owner,privatization,male,Europe,privatized and resources,Non-Traded Sectors,Constrution,not inherited
Lev Leviev,1934,owner,aquired,male,Middle East/North Africa,privatized and resources,Resource Related,Mining and metals,not inherited
Li Denghai,1989,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Li Hejun,1994,founder/chairman,new,male,East Asia,privatized and resources,Resource Related,Energy,not inherited
Li Ka-shing,1950,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Li Li,1998,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Li Shufu,1986,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Li Shuirong,1995,chairman,new,male,East Asia,executive,Traded Sectors,Non-consumer industrial,not inherited
Li Sze Lim,1994,founder and chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Li Zhongchu,1995,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Lia Maria Aguiar,1943,relation,new,female,Latin America,inherited,Financial,Money Management,father
Liang Wengen,1989,founder,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Liang Xinjun,1992,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Liang Yunchao,1995,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Liao Long-Shing,1949,relation,new,male,East Asia,inherited,Traded Sectors,Non-consumer industrial,father
Liem Sioe Liong,1952,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Lilian Werninghaus,1961,relation,new,female,Latin America,inherited,Traded Sectors,Non-consumer industrial,spouse/widow
Liliane Bettencourt,1909,relation,new,female,Europe,inherited,Traded Sectors,Consumer,father
Lily Safra,1955,relation,new,female,Europe,inherited,Financial,Money Management,spouse/widow
Lim Goh Tong,1965,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Lim Hariyanto Wijaya Sarwono,1996,founder,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Lim Oon Kuin,1963,founder,new,male,East Asia,privatized and resources,Resource Related,Energy,not inherited
Lin Li,1995,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Lin Ming-Hsiung,1998,owner,privatization,male,East Asia,privatized and resources,Non-Traded Sectors,"Retail, Restaurant",not inherited
Lin Rong San,1989,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Lin Xiucheng,2000,chairman,new,male,East Asia,executive,New Sectors,Technology-Computer,not inherited
Lin Yu-lin,1965,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Lina Maria Aguiar,1943,relation,new,female,Latin America,inherited,Financial,Money Management,father
Linda Pritzker,1957,relation,aquired,female,North America,inherited,Financial,Real Estate,father
Lindsay Fox,1956,founder,new,male,North America,founder non-finance,0,Other,not inherited
Lirio Parisotto,1988,founder,new,male,Latin America,self-made finance,Financial,Diversified financial,not inherited
Liselott Persson,1947,inherited,new,female,Europe,inherited,Traded Sectors,Consumer,father
Liu Baolin,1985,chairman,new,male,East Asia,executive,New Sectors,Technology-Medical,not inherited
Liu Gexin,1996,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Liu Ming Chung,1995,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Liu Qiangdong,2004,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Liu Xiaomeng,1990,investor,new,female,East Asia,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Liu Xuejing,1991,owner,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Liu Yonghao,1982,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Liu Yongxing,1982,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Liu Zhenfeng,1997,owner,new,male,East Asia,privatized and resources,Resource Related,Energy,not inherited
Liu Zhenguo,2001,Vice Chairman,new,male,East Asia,executive,0,0,not inherited
Liu Zhongtian,1993,founder and chairman,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Lo Ying Shek,1963,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Lorenzo Fertitta,1976,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Lorenzo Mendoza,1941,relation,new,male,Latin America,inherited,Traded Sectors,Consumer,father
Lorenzo Rossi di Montelera,1863,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Lorenzo Zambrano,1906,relation,new,male,Latin America,inherited,Non-Traded Sectors,Constrution,3rd generation
Louis Bacon,1989,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Louis Gonda,1973,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Louis Le Duff,1976,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Low Tuck Kwong,1973,founder,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Lowry Mays,1972,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Lu Guanqiu,1969,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Lu Xiangyang,1995,vice chairman,new,male,East Asia,executive,Traded Sectors,Consumer,not inherited
Lu Zhiqiang,1985,chairman,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Luciano Benetton,1965,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Lucio Tan,1982,founder,new,male,East Asia,privatized and resources,Financial,Diversified financial,not inherited
Ludwig Merckle,1881,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,4th generation
Lui Che Woo,1955,founder/chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Luis Carlos Sarmiento,1971,founder,aquired,male,Latin America,self-made finance,Financial,Money Management,not inherited
Luis Carlos Sarmiento Angulo,1971,founder,aquired,male,Latin America,self-made finance,Financial,Money Management,not inherited
Luis Enrique Yarur Rey,1937,relation,new,male,Latin America,inherited,Financial,Money Management,father
Luiz Alberto Garcia,1929,relation,new,male,Latin America,inherited,Non-Traded Sectors,Media,father
Luo Fei,1999,ceo,new,male,East Asia,executive,Traded Sectors,Consumer,not inherited
Luo Jye,1967,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Lutz Mario Helmig,1987,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Lynda Resnick,1934,owner,aquired,female,North America,executive,Traded Sectors,Consumer,not inherited
Lynn Schusterman,1971,relation,new,female,North America,inherited,Resource Related,Energy,spouse/widow
M.A. Yusuff Ali,1973,relation,new,male,South Asia,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Ma Huateng,1998,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Ma Jianrong,1990,relative,new,male,East Asia,inherited,Traded Sectors,Consumer,father
Ma Xingtian,1998,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Madeleine Olsson Ericksson,1939,relation,new,female,Europe,inherited,Financial,Diversified financial,father
Madeleine Schickedanz,1927,relation,new,female,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",not inherited
Maersk McKinney Moller,1905,relation,new,male,Europe,inherited,Financial,Diversified financial,father
Magdalena Martullo-Blocher,1936,relation and ceo,aquired,female,Europe,inherited,Traded Sectors,Non-consumer industrial,father
Maja Oeri,1896,relative,new,female,Europe,inherited,New Sectors,Technology-Medical,father
Majid Al Futtaim,1995,founder,new,male,Middle East/North Africa,self-made finance,Financial,Real Estate,not inherited
Malcolm Glazer,1984,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Malcolm Green Chace III,1984,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Malvinder and Shivinder Singh,1961,relation,new,male,South Asia,inherited,New Sectors,Technology-Medical,3rd generation
Mangal Prabhat Lodha,1980,founder,new,male,South Asia,self-made finance,Financial,Real Estate,not inherited
Manuel Jove,1980,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Manuel Lao Hernandez,1978,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Manuel Moroun,1970,chairman,aquired,male,North America,executive,0,Other,not inherited
Manuel Villar,1975,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Marc Benioff,1999,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Marc Ladreit de Lacharriere,1991,founder and CEO,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Marc Lasry,1995,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Marc Rich,1974,founder,new,male,Europe,self-made finance,Financial,Hedge funds,not inherited
Marc Rowan,1990,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Marcel Adams,1958,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Marcel Herrmann Telles,1885,founder,aquired,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Marco Tronchetti Provera,1872,Chairman and Chief Executive Officer,new,male,Europe,executive,Traded Sectors,Consumer,not inherited
Margaret Cargill,1865,relation,new,female,North America,inherited,Financial,Diversified financial,3rd generation
Margarita Louis-Dreyfus,1851,relation,new,female,Europe,inherited,Resource Related,Mining and metals,spouse/widow
Marguerite Harbert,1993,relation,new,female,North America,inherited,0,Other,spouse/widow
Maria Asuncion Aramburuzabala,1925,relation,new,female,Latin America,inherited,Traded Sectors,Consumer,3rd generation
Maria Del Pino y Calvo-Sotelo,1952,relation,new,female,Europe,inherited,Non-Traded Sectors,Constrution,father
Maria Helena Moraes Scripilliti,1919,relation,new,female,Latin America,inherited,Financial,Diversified financial,father
Maria Ines de Lafuente Lacroze,1926,relation,new,female,Latin America,inherited,Non-Traded Sectors,Constrution,father
Maria Luisa Solari Falabella,1889,relation,new,female,Latin America,inherited,Non-Traded Sectors,"Retail, Restaurant",4th generation
Maria-Elisabeth Schaeffler,1946,relation,new,female,Europe,inherited,Traded Sectors,Non-consumer industrial,spouse/widow
Marian Ilitch,1959,founder,new,female,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Marianne Liebmann,1865,relation,new,female,North America,inherited,Financial,Money Management,3rd generation
Marie Besnier Beauvalot,1933,relation,new,female,Europe,inherited,Traded Sectors,Consumer,father
Marie-Jeanne Meyer,1851,relation,new,female,Europe,inherited,Resource Related,Mining and metals,4th generation
Marilyn Carlson Nelson,1938,relation,new,female,North America,inherited,Financial,Real Estate,father
Mario Gabelli,1977,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Mario Moretti Polegato,1995,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Marius Nacht,1993,founder,new,male,Middle East/North Africa,founder non-finance,New Sectors,Technology-Computer,not inherited
Mark Coombs,1998,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Mark Cuban,1995,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Mark Dixon,1989,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Mark Pincus,2007,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Mark Shoen,1945,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Mark Stevens,1972,partner,new,male,North America,self-made finance,Financial,Venture Capital,not inherited
Mark Vadon,2010,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Mark Zuckerberg,2004,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Martha Ingram,1946,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Martin & Olivier Bouygues,1952,relation,new,male,Europe,inherited,Non-Traded Sectors,Constrution,father
Martin Bouygues,1952,relation,new,male,Europe,inherited,Non-Traded Sectors,Media,father
Martin Ebner,1985,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Martin Haefner,1976,relation,new,male,Europe,inherited,New Sectors,Technology-Computer,father
Martin Hilti,1941,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Martin Naughton,1973,founder,new,male,Europe,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Martin Viessmann,1917,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,3rd generation
Martua Sitorus,1991,founder,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Marvin Davis,1945,relation,new,male,North America,inherited,Resource Related,Energy,father
Mary Alice Dorrance Malone,1869,relation,aquired,female,North America,inherited,Traded Sectors,Consumer,3rd generation
Mary Anselmo,1984,relation,new,female,North America,inherited,Non-Traded Sectors,Media,spouse/widow
Mary Perkins,1984,founder,new,female,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Masafumi Miyamoto,1983,founder,subsidiary,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Masahiro Miki,1985,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Masahiro Ohga,0,,,male,East Asia,,Non-Traded Sectors,Media,not inherited
Masakazu Shiiki,1946,founder,new,male,East Asia,self-made finance,Financial,Money Management,not inherited
Masakuni Osano,1960,president,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Masao Morita,1947,relation,new,male,East Asia,inherited,Non-Traded Sectors,Media,father
Masatoshi Ito,1961,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
